address,application_for,ballots_cast,ballots_in_favour,ballots_opposed,close_date,poll_result,response_rate_met,percent_in_favour
317 Armadale Ave,Front Yard Parking,36,25,5,2016-05-27,In Favour,Yes,69.44444444444444
31 Methuen Ave,Front Yard Parking,60,52,4,2016-05-27,In Favour,Yes,86.66666666666667
244 Dunraven Dr,Appeal - Front Yard Parking,29,21,8,2016-05-28,In Favour,Yes,72.41379310344827
61 Bellevue Ave,Boulevard Cafe,2,2,0,2016-06-02,Response Rate Not Met,No,100
209 Silverthorn Ave,Front Yard Parking,64,51,0,2016-06-15,In Favour,Yes,79.6875
1 Roseneath Gdns,Appeal - Front Yard Parking,41,24,6,2016-06-10,In Favour,Yes,58.536585365853654
21 Lavender Rd,Appeal - Front Yard Parking,14,14,0,2016-06-11,In Favour,Yes,100
134 Glenholme Ave,Appeal - Front Yard Parking,67,61,6,2016-06-11,In Favour,Yes,91.04477611940298
48 Duggan Ave,Appeal - Front Yard Parking,73,64,5,2016-06-16,In Favour,Yes,87.67123287671232
50 Duggan Ave,Appeal - Front Yard Parking,76,67,5,2016-06-16,In Favour,Yes,88.1578947368421
511 Bloor St W,Boulevard Cafe,23,4,19,2016-07-06,Opposed,Yes,17.391304347826086
1048 St Clarens Ave,Front Yard Parking,74,57,7,2016-06-23,In Favour,Yes,77.02702702702703
489 Glenlake Ave,Front Yard Parking,37,33,4,2016-06-29,In Favour,Yes,89.1891891891892
45 Ardagh St,Appeal - Front Yard Parking,26,21,2,2016-06-30,In Favour,Yes,80.76923076923077
851 Windermere Ave,Appeal - Front Yard Parking,58,44,5,2016-06-30,In Favour,Yes,75.86206896551724
213 Greer Rd,Front Yard Parking,24,20,2,2016-07-01,In Favour,Yes,83.33333333333334
91 Glengrove Ave W,Appeal - Front Yard Parking,17,10,5,2016-07-01,In Favour,Yes,58.82352941176471
91 Castlewood Rd,Front Yard Parking,41,40,1,2016-07-06,In Favour,Yes,97.5609756097561
1646 St Clair Ave W,Boulevard Cafe,16,2,13,2016-10-08,Opposed,Yes,12.5
320 Brookdale Ave,Appeal - Front Yard Parking,19,13,4,2016-07-29,In Favour,Yes,68.42105263157895
35 Kane Ave,Front Yard Parking,43,41,1,2016-07-13,In Favour,Yes,95.34883720930233
1 Rainsford Rd,Boulevard Cafe,61,38,18,2016-07-08,In Favour,Yes,62.295081967213115
800 Dundas St W,Boulevard Cafe,29,14,13,2016-07-15,Response Rate Not Met,No,48.275862068965516
1444 Dupont St,Boulevard Cafe,9,6,0,2016-07-20,In Favour,Yes,66.66666666666666
327 Roncesvalles Ave,Boulevard Cafe,20,16,2,2016-07-30,In Favour,Yes,80
179 Lawrence Ave W,Appeal - Front Yard Parking,33,31,0,2016-07-22,In Favour,Yes,93.93939393939394
59 Bellefair Ave,Front Yard Parking,96,85,2,2016-07-23,In Favour,Yes,88.54166666666666
77 Leuty Ave,Front Yard Parking,56,26,23,2016-07-20,Opposed,Yes,46.42857142857143
252 Glenrose Ave,Appeal - Front Yard Parking,49,37,7,2016-07-21,In Favour,Yes,75.51020408163265
69 Deloraine Ave,Front Yard Parking,44,34,2,2016-07-22,In Favour,Yes,77.27272727272727
14 Larkin Ave,Front Yard Parking,49,46,1,2016-07-22,In Favour,Yes,93.87755102040816
575 Hillsdale Ave E,Front Yard Parking,71,54,14,2016-07-27,In Favour,Yes,76.05633802816901
2366 Bloor St W,Boulevard Cafe,11,5,5,2016-07-27,Opposed,Yes,45.45454545454545
347 Windermere Ave,Front Yard Parking,12,10,2,2016-07-27,In Favour,Yes,83.33333333333334
604 King St W,Boulevard Cafe,7,2,5,2016-10-12,Opposed,Yes,28.57142857142857
40 Warland Ave,Front Yard Parking,57,39,5,2016-10-20,In Favour,Yes,68.42105263157895
129 Ronan Ave,Front Yard Parking,41,35,1,2016-10-14,In Favour,Yes,85.36585365853658
530 Soudan Ave,Appeal - Front Yard Parking,30,30,0,2016-10-13,In Favour,Yes,100
86 Balmoral Ave,Appeal - Front Yard Parking,71,46,22,2016-10-15,In Favour,Yes,64.7887323943662
76 Nealon Ave,Front Yard Parking,41,38,2,2016-10-14,In Favour,Yes,92.6829268292683
171 Blackthorn Ave,Appeal - Front Yard Parking,92,74,8,2016-10-20,In Favour,Yes,80.43478260869566
439 Manor Rd E,Front Yard Parking,26,26,0,2016-10-15,In Favour,Yes,100
2 Plains Rd,Appeal - Front Yard Parking,7,6,1,2016-10-19,In Favour,Yes,85.71428571428571
487 Winnett Ave,Front Yard Parking,35,32,1,2016-10-15,In Favour,Yes,91.42857142857143
162 Ossington Ave,Boulevard Cafe,28,7,13,2016-10-19,Response Rate Not Met,No,25
600 King St W,Boulevard Cafe,3,1,2,2016-10-21,Response Rate Not Met,No,33.33333333333333
1032 Queen St W,Boulevard Cafe,30,2,25,2016-10-26,Opposed,Yes,6.666666666666667
3076 Dundas St W,Boulevard Cafe,37,25,11,2016-10-29,In Favour,Yes,67.56756756756756
3074 Dundas St W,Boulevard Cafe,26,17,5,2016-11-02,In Favour,Yes,65.38461538461539
1595 Dupont St,Boulevard Cafe,29,23,0,2016-11-02,In Favour,Yes,79.3103448275862
69 Clouston Ave,Appeal - Front Yard Parking,26,17,9,2016-11-02,In Favour,Yes,65.38461538461539
66 Dynevor Rd,Appeal - Front Yard Parking,63,60,0,2016-11-02,In Favour,Yes,95.23809523809523
24 Roseneath Gdns,Appeal - Front Yard Parking,46,35,6,2016-10-29,In Favour,Yes,76.08695652173914
12 Geary Ave,Front Yard Parking,10,10,0,2016-11-02,In Favour,Yes,100
12 Norway Ave,Front Yard Parking,26,22,1,2016-11-03,In Favour,Yes,84.61538461538461
11 Spring Grove Ave,Appeal - Front Yard Parking,32,22,8,2016-11-03,In Favour,Yes,68.75
163 Arlington Ave,Front Yard Parking,50,48,0,2016-11-05,In Favour,Yes,96
85 Castleton Ave,Front Yard Parking,28,27,1,2016-11-04,In Favour,Yes,96.42857142857143
115 Humbercrest Blvd,Front Yard Parking,40,30,7,2016-11-03,In Favour,Yes,75
354 Briar Hill Ave,Front Yard Parking,58,41,1,2016-11-04,In Favour,Yes,70.6896551724138
175 Chambers Ave,Appeal - Front Yard Parking,31,27,0,2016-11-04,In Favour,Yes,87.09677419354838
137 Hillsdale Ave E,Appeal - Front Yard Parking,55,48,5,2016-11-05,In Favour,Yes,87.27272727272727
89 Brookside Ave,Front Yard Parking,71,65,3,2016-11-05,In Favour,Yes,91.54929577464789
327 Forman Ave,Front Yard Parking,48,44,1,2016-11-05,In Favour,Yes,91.66666666666666
75 Earlsdale Ave,Appeal - Front Yard Parking,40,31,2,2016-11-10,In Favour,Yes,77.5
226 Hillsdale Ave E,Appeal - Front Yard Parking,36,30,4,2016-11-10,In Favour,Yes,83.33333333333334
68 Glen Manor Dr,Appeal - Front Yard Parking,22,16,5,2016-11-10,Response Rate Not Met,No,72.72727272727273
24 Linnsmore Cres,Front Yard Parking,57,55,0,2016-11-10,In Favour,Yes,96.49122807017544
350 Brookdale Ave,Front Yard Parking,49,47,0,2016-11-10,In Favour,Yes,95.91836734693877
86 Robina Ave,Appeal - Front Yard Parking,72,49,4,2016-11-23,In Favour,Yes,68.05555555555556
120 Blackthorn Ave,Appeal - Front Yard Parking,36,31,2,2016-11-23,In Favour,Yes,86.11111111111111
11 Grimthorpe Rd,Front Yard Parking,15,13,0,2016-11-16,In Favour,Yes,86.66666666666667
98 Hatherley Rd,Front Yard Parking,32,21,1,2016-11-16,In Favour,Yes,65.625
908 Queen St E,Boulevard Cafe,10,4,6,2016-11-24,Opposed,Yes,40
3 Royal St,Appeal - Front Yard Parking,41,36,3,2016-11-24,In Favour,Yes,87.8048780487805
5 Somerville Ave,Appeal - Front Yard Parking,40,30,6,2016-11-16,In Favour,Yes,75
45 Herbert Ave,Appeal - Front Yard Parking,43,24,17,2016-11-23,In Favour,Yes,55.81395348837209
6 Hollis St,Appeal - Front Yard Parking,26,22,0,2016-11-24,In Favour,Yes,84.61538461538461
24 Belgravia Ave,Appeal - Front Yard Parking,42,32,8,2016-11-24,In Favour,Yes,76.19047619047619
45A Benlamond Ave,Appeal - Front Yard Parking,42,29,7,2016-12-07,In Favour,Yes,69.04761904761905
14 Somerville Ave,Appeal - Front Yard Parking,37,27,5,2016-11-25,In Favour,Yes,72.97297297297297
33 Livingstone Ave,Appeal - Front Yard Parking,47,27,13,2016-11-26,In Favour,Yes,57.446808510638306
485 Lauder Ave,Appeal - Front Yard Parking,50,32,16,2016-11-26,In Favour,Yes,64
8 Norway Ave,Appeal - Front Yard Parking,25,19,1,2016-12-03,In Favour,Yes,76
535 Queen St W,Boulevard Cafe,28,17,4,2016-12-07,Response Rate Not Met,No,60.71428571428571
35 Waller Ave,Front Yard Parking,47,43,1,2016-12-03,In Favour,Yes,91.48936170212765
575 Merton St,Front Yard Parking,57,41,6,2016-12-08,In Favour,Yes,71.9298245614035
162 Hammersmith Ave,Appeal - Front Yard Parking,45,23,20,2016-12-07,Opposed,Yes,51.11111111111111
466 Castlefield Ave,Front Yard Parking,49,38,0,2016-12-07,In Favour,Yes,77.55102040816327
132 Hopedale Ave,Front Yard Parking,33,29,4,2016-12-10,In Favour,Yes,87.87878787878788
519 Soudan Ave,Front Yard Parking,39,31,4,2016-12-09,In Favour,Yes,79.48717948717949
91 Ypres Rd,Front Yard Parking,26,25,1,2016-12-08,In Favour,Yes,96.15384615384616
30 Atlas Ave,Front Yard Parking,27,26,1,2016-12-09,In Favour,Yes,96.29629629629629
46 Vernon St,Appeal - Front Yard Parking,65,55,5,2016-12-08,In Favour,Yes,84.61538461538461
114 Beresford Ave,Appeal - Front Yard Parking,44,38,0,2016-12-08,In Favour,Yes,86.36363636363636
292 Glen Rd,Appeal - Front Yard Parking,47,45,0,2016-12-09,In Favour,Yes,95.74468085106383
91 Ashdale Ave,Appeal - Front Yard Parking,37,18,12,2016-12-10,Opposed,Yes,48.64864864864865
691 Mount Pleasant Rd,Commercial Boulevard Parking,23,11,11,2016-12-14,Opposed,Yes,47.82608695652174
224 Evelyn Ave,Front Yard Parking,38,13,23,2016-12-17,Opposed,Yes,34.21052631578947
299 Waverley Rd,Front Yard Parking,67,52,10,2016-12-09,In Favour,Yes,77.61194029850746
27 Westover Hill Rd,Front Yard Parking,41,28,6,2016-12-10,In Favour,Yes,68.29268292682927
28 Lessard Ave,Front Yard Parking,56,54,0,2016-12-16,In Favour,Yes,96.42857142857143
1184 Bloor St W,Boulevard Cafe,20,13,0,2016-12-17,Response Rate Not Met,No,65
450 Woburn Ave,Appeal - Front Yard Parking,47,41,4,2016-12-16,In Favour,Yes,87.2340425531915
452 Woburn Ave,Appeal - Front Yard Parking,48,42,4,2016-12-17,In Favour,Yes,87.5
2 Crosby Ave,Front Yard Parking,11,10,0,2016-12-21,In Favour,Yes,90.9090909090909
42 Norway Ave,Front Yard Parking,32,29,2,2016-12-24,In Favour,Yes,90.625
1 Astoria Ave,Front Yard Parking,26,26,0,2016-12-24,In Favour,Yes,100
2620 Danforth Ave,Commercial Boulevard Parking,3,3,0,2017-01-21,Response Rate Not Met,No,100
364 Atlas Ave,Front Yard Parking,36,35,0,2016-12-23,In Favour,Yes,97.22222222222221
224 Lonsmount Dr,Front Yard Parking,7,7,0,2016-12-30,In Favour,Yes,100
88 Guestville Ave,Front Yard Parking,32,31,0,2016-12-23,In Favour,Yes,96.875
585 Windermere Ave,Front Yard Parking,63,55,8,2016-12-24,In Favour,Yes,87.3015873015873
215 Wanless Ave,Appeal - Front Yard Parking,33,31,1,2017-01-07,In Favour,Yes,93.93939393939394
54 Beresford Ave,Appeal - Front Yard Parking,25,20,4,2017-01-11,In Favour,Yes,80
7 Durie St,Appeal - Front Yard Parking,29,12,17,2017-01-11,Opposed,Yes,41.37931034482759
61 Forest Hill Rd,Appeal - Front Yard Parking,16,12,4,2017-01-13,In Favour,Yes,75
